ISIN_CODE,BSE_Symbol,OneWR,OneMR,ThreeMR,OneYR,ThreeYR,FiveYR,TenYR,P_E,Sector_PE,P_B,Median_PB,DE_Ratio,ROE,EYield,DYield,OPM,EV_EBITDA,PS_Ratio,PCF,PEG_Ratio,FCF,LTD,OverallValue,bullpattn,bearpattn,PSAR,momentum,daily_vol,slowRSI,AweOsc,week_vol,fastRSI,UltOsc,month_vol,bullupdates,bearupdates
INE144J01027,533022,6.11,26,54.37,59.82,19.5,-4.38,-,17.04,84.58857143,1.86,25.26 (5-Y),1.48,16.34,11.98,0,14.5,6.88,0.5,3.51,8.46,10.37,151.73,Somewhat costly but justifies,Bullish Harami Formation formed on 16-Nov-2017<br />Weekly Bullish Harami Formation formed on 16-Nov-2017<br />Three Inside Up formed on 19-Oct-2017<br />Bullish Harami Formation formed on 18-Oct-2017<br />Monthly Inverted Hammer Formation formed on 11-Oct-2017,Dark Cloud cover Formation formed on 17-Nov-2017<br />Monthly Dark Cloud cover Formation formed on 09-Nov-2017<br />Three Dark Crows formed on 02-Nov-2017<br />Dark Cloud cover Formation formed on 31-Oct-2017<br />Bearish Engulfing Formation formed on 17-Oct-2017,42.09368,10.9,0.0804,86.63,8.320588,0.1123,78.84,50.63,0.0811,Monthly CMF-Bullish Trend Change seen on 21-Nov-2017,-
INE253B01015,526921,6.5,14.14,15.35,21.85,3,42.19,-5.71,2.67,61.94643766,0.47,1.78 (5-Y),0,11.17,195.2,0,77.45,0.54,2.01,2.95,0.1,10.89,-,Not cheap but still Good,-,-,-,-,-,-,-,-,-,-,-,-,-
INE748C01020,532628,-1.3,-1.3,-2.56,-25.49,-21.94,-11.87,-29.61,6.67,6.67,-8.12,6.23 (5-Y),-3.92,0,12.04,0,20.83,7.04,0.52,3.91,0.42,19.9,928.62,Cheap,Monthly Bullish Piercing Formation formed on 17-Nov-2017<br />Monthly Bullish Engulfing Formation formed on 09-Nov-2017<br />Monthly Bullish Piercing Formation formed on 06-Nov-2017<br />Monthly Bullish Engulfing Formation formed on 03-Nov-2017<br />Monthly Bullish Harami Formation formed on 12-Oct-2017,Bearish MaruBozu formed on 06-Nov-2017<br />Weekly Bearish Harami Formation formed on 06-Nov-2017<br />Weekly Bearish MaruBozu formed on 06-Nov-2017<br />Bullish GraveStone Doji formed on 01-Nov-2017<br />Monthly Bullish GraveStone Doji formed on 01-Nov-2017,4.068961,-0.2,0.0133,7.34,-0.131177,0.0241,14.67,48.7,0.0324,ADX +DI Cross Above - DI Monthly ADX seen on 21-Nov-2017<br />ADX +DI Cross Above - DI Weekly ADX seen on 21-Nov-2017<br />PSAR Bullish Reversal on Weekly Chart seen on 16-Nov-2017<br />PSAR Bullish Reversal on Monthly Chart seen on 16-Nov-2017<br />MACD Above Zero Line seen on 16-Nov-2017,ADX -DI Cross Above + DI Monthly ADX seen on 21-Nov-2017<br />Monthly MACD Below Zero Line seen on 21-Nov-2017<br />MACD Below Signal Line seen on 21-Nov-2017<br />MACD Below Zero Line seen on 21-Nov-2017<br />PSAR Bearish Reversal on Weekly Chart seen on 21-Nov-2017
INE470A01017,523395,7.66,11.54,15.69,43,35.14,33.59,23.44,70.47,70.47,13.49,80.95 (5-Y),0.01,21.74,2.28,0,17.7,39.17,7.28,49.51,1.86,382.29,9.78,Somewhat costly but justifies,Weekly Three Outside Up formed on 08-Nov-2017<br />Bullish Harami Formation formed on 08-Nov-2017<br />Weekly Bullish Engulfing Formation formed on 03-Nov-2017<br />Monthly Bullish Harami Formation formed on 02-Nov-2017<br />Three Inside Up formed on 02-Nov-2017,Three Dark Crows formed on 13-Nov-2017<br />Bearish Engulfing Formation formed on 07-Nov-2017<br />Bearish Engulfing Formation formed on 31-Oct-2017<br />Weekly Bearish Engulfing Formation formed on 25-Oct-2017<br />Bearish MaruBozu formed on 11-Oct-2017,14616.239,-9.6,0.0236,81.54,-94.924706,0.0216,76.19,42.23,0.0181,Stock Broke Monthly Resistance seen on 21-Nov-2017<br />Weekly CMF-Bullish Trend Change seen on 21-Nov-2017<br />Stock Broke Weekly Resistance seen on 21-Nov-2017<br />MACD Above Zero Line seen on 21-Nov-2017<br />PSAR Bullish Reversal on Weekly Chart seen on 20-Nov-2017,-
INE545N01019,531925,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Not Assessed,-,-,-,-,-,-,-,-,-,-,-,-,-
INE618L01018,540776,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Not Assessed,-,-,-,-,-,-,-,-,-,-,-,-,-
INE111B01023,526881,-4.13,-25.93,85.88,56.54,-15.74,-36.91,-25.96,13.36,13.54,0.18,7.55 (5-Y),0.16,0.74,49.46,1.78,52.48,1.09,2.17,-4.58,-0.33,38.64,497.64,Somewhat costly but justifies,Bullish Engulfing Formation formed on 27-Oct-2017<br />Inverted Hammer Formation formed on 25-Oct-2017<br />Weekly Bullish GapUp Formation formed on 23-Oct-2017<br />Bullish GapUp Formation formed on 23-Oct-2017<br />Monthly Bullish MaruBozu formed on 23-Oct-2017,Weekly Bearish GapDown Formation formed on 17-Nov-2017<br />Three Dark Crows formed on 17-Nov-2017<br />Bearish GapDown Formation formed on 13-Nov-2017<br />Bullish GraveStone Doji formed on 13-Nov-2017<br />Weekly Bullish GraveStone Doji formed on 13-Nov-2017,163.59914,31.25,0.0909,20.17,38.627354,0.0768,11.52,48.45,0.0716,Monthly CMF-Bullish Trend Change seen on 21-Nov-2017<br />Stock Broke Monthly Resistance seen on 13-Nov-2017,MACD Below Zero Line seen on 21-Nov-2017<br />Monthly MACD Below Zero Line seen on 21-Nov-2017<br />Weekly MACD Below Zero Line seen on 21-Nov-2017<br />PSAR Bearish Reversal on Monthly Chart seen on 14-Nov-2017<br />PSAR Bearish Reversal on Weekly Chart seen on 14-Nov-2017
INE413X01019,540615,-,-,-,-,-,-,-,46.98,46.98,1.68,-,0,9.71,2.87,0,4.11,-,-,26.24,-,-0.15,-,Not Assessed,-,-,-,-,-,-,-,-,-,-,-,-,-
INE650K01021,512161,0.12,64.67,66.8,38.9,56.91,112.05,-,20.37,20.37,6.54,23.8 (5-Y),0.1,46.21,7.93,0.12,34.87,11.48,4.02,27.23,0.18,44.22,32.55,Very Cheap,Bullish Harami Formation formed on 16-Nov-2017<br />Bullish GapUp Formation formed on 14-Nov-2017<br />Bullish MaruBozu formed on 13-Nov-2017<br />Weekly Bullish MaruBozu formed on 13-Nov-2017<br />Bullish Piercing Formation formed on 06-Nov-2017,Weekly Bearish Harami Formation formed on 10-Nov-2017<br />Bearish Engulfing Formation formed on 25-Oct-2017<br />Dark Cloud cover Formation formed on 13-Oct-2017<br />Weekly Three Dark Crows formed on 03-Oct-2017<br />Three Dark Crows formed on 27-Sep-2017,509.72305,170.55,0.2225,61.82,107.645,0.0931,71.56,62.05,0.0746,Monthly CMF-Bullish Trend Change seen on 21-Nov-2017<br />Stock Broke Weekly Resistance seen on 17-Nov-2017<br />Crossed Above Weekly Central Line seen on 17-Nov-2017,Monthly MACD Below Signal Line seen on 21-Nov-2017<br />Weekly MACD Below Signal Line seen on 21-Nov-2017<br />MACD Below Signal Line seen on 21-Nov-2017
INE534E01012,539620,0.58,5.52,92.35,221.01,-,-,-,279.72,84.9975,2.21,144.4 (1-Y),2.2,0.87,4.68,0.52,8.02,17.15,0.58,8.19,8.14,-1.39,96.06,Somewhat costly but justifies,-,-,-,-,-,-,-,-,-,-,-,-,-
INE319X01018,540697,-6.45,-9.38,-,-,-,-,-,29.19,21.005,0.89,-,0.85,12.42,5.81,0,11.3,-,-,-3.18,-,-11.44,5.42,Not Assessed,-,-,-,-,-,-,-,-,-,-,-,-,-
